Company,Role,Job_Code,JD_Link,Raw_JD_Text_File,Raw_JD_Text_Snippet,CPI_Cutoff,CTC_BTech,Gross_Salary_BTech
N/A,N/A,9061,https://campus.placements.iitb.ac.in/applicant/job/9061,fetched_jds\NA_NA_9061.txt,"Job Details
Flow Traders is looking for a passionate individual with a strong interest in technology and financial markets to start their career in our Trading Operations team.  The incumbent must have an entrepreneurial mind-set with the ability to manage multiple responsibilities and demands. You will be working with highly skilled and motivated colleagues such as Traders, Developers and System Engineers in order to achieve a common goal.
As a member of our Trading Operations Team, you will pr",N/A,N/A,N/A
N/A,N/A,9380,https://campus.placements.iitb.ac.in/applicant/job/9380,fetched_jds\NA_NA_9380.txt,"Job Details
RESPONSIBILITIES
●Optimize trajectories the launch vehicle will have to fly in to get to orbit.
●Work with Propulsion and GNC Engineers to code engine characterization, carry out
simulations, and integrate programs into flight control algorithms.
●
Work interdisciplinary trades (e.g. with Avionics, GNC, Thermal, and Structures) that
result in the most optimal vehicle level configuration.
BASIC QUALIFICATIONS
●
Bachelor’s degree in computer science, physics, electrical engineering, or",N/A,N/A,N/A
N/A,N/A,9388,https://campus.placements.iitb.ac.in/applicant/job/9388,fetched_jds\NA_NA_9388.txt,"Job Details
RESPONSIBILITIES
We build products that fly. We are looking for an engineer who understands how to design
hardware that flys.
●Work with CAD softwares
●Perform engineering trade studies
●Work on rapid conceptual design projects
●Create fabrication and installation drawings
●Understand GD&T, and tolerance/stack-up analysis.
●Lead all 3D modelling initiatives at Agnikul starting from design for manufacturing to
qualifying manufacturing processes
●Optimise modelling for manufacturing wi",N/A,N/A,N/A
N/A,N/A,9389,https://campus.placements.iitb.ac.in/applicant/job/9389,fetched_jds\NA_NA_9389.txt,"Job Details
RESPONSIBILITIES
●Design, analyse and build flight dynamics models for launch vehicles.
●Design high fidelity simulations of hypersonic flight systems, deriving from experience
in flight dynamics, navigation, guidance, and control.
●Resolve dynamics problems through analysis and test
●Build finite element models
●Execute dynamic testing from start-to-finish (pre-test analysis, sensor selection &
installation, testing, data analysis, signal processing and model correlation)
●Perform a",N/A,N/A,N/A
N/A,N/A,9390,https://campus.placements.iitb.ac.in/applicant/job/9390,fetched_jds\NA_NA_9390.txt,"Job Details
RESPONSIBILITIES
●
Lead conceptual design and realisation of all composite hardware across the
launch vehicle.
●
Conceive initial development hardware, ensuring efficient manufacturability
(Can’t “stress” this point enough - pun intended)
●
Manage end-to-end process of producing advanced composites systems and
assemblies for various vehicle subsystems and their prototype hardware
including test articles.
●
Propose tooling preparation, component lamination, cure preparation, curing,
d",N/A,N/A,N/A
N/A,N/A,9411,https://campus.placements.iitb.ac.in/applicant/job/9411,fetched_jds\NA_NA_9411.txt,"Job Details
RESPONSIBILITIES
●
Analyze, build, and lead additively manufactured launch vehicle designs for all sub
systems in the vehicle.
●
Partner with suppliers and customers to redefine and produce scaled solutions for
additive manufacturing.
●
Envision required capital & infrastructure required to handle the entirety of metal
printing process.
●
Use proficiency in powder and materials science to provide engineering insight that
●
leads to improvements in metal printing and metal component p",N/A,N/A,N/A
N/A,N/A,9412,https://campus.placements.iitb.ac.in/applicant/job/9412,fetched_jds\NA_NA_9412.txt,"Job Details
Responsibilities
● Leads the controller design and integration process for launch vehicle control systems
and related components
●Specifically, Aid in the development of Autopilot linear stability testing and analysis.
●Design Non-linear 6DOF simulation analysis and scenario analysis.
●Review system level and launch vehicle requirements.
●Lead development and maintenance of software tools that predict pre-flight
performance under nominal, off-nominal conditions.
●
Perform post flight",N/A,N/A,N/A
N/A,N/A,9420,https://campus.placements.iitb.ac.in/applicant/job/9420,fetched_jds\NA_NA_9420.txt,"Job Details
Responsibilities:
● Create the fundamental power electronics architecture and associated software and
hardware systems for Agnikul's vehicle
●
Contribute engineering expertise in design, study, and testing of DC-DC power
converters for harsh environments
●
Delliver on power system and sub-system level design trades and develop
requirements at a system level and a component level.
●
Design DC-DC topologies and select optimal architectures and components for board
level power
●
Design,",N/A,N/A,N/A
N/A,N/A,9425,https://campus.placements.iitb.ac.in/applicant/job/9425,fetched_jds\NA_NA_9425.txt,"Job Details
Responsibilities:
● Design, develop and test (space hardened) avionics hardware that will support the
functions of our launch vehicles and spacecraft.
●
Will assist with prototyping, schematic capture, debugging, hardware bug tracking,
functional verification and signal characterization.
●Efficiently develop complex software in the LabVIEW programming environment.
●Accurately estimate the timelines required to develop LabVIEW programs.
●Practise effective revision control of programs",N/A,N/A,N/A
N/A,N/A,9426,https://campus.placements.iitb.ac.in/applicant/job/9426,fetched_jds\NA_NA_9426.txt,"Job Details
Responsibilities
● Design, develop and test (space hardened) avionics firmware that will support the
functions of our launch vehicles and test systems.
●
Schematic design, generate Bill Of Materials (BOM). Be able to debug the PCB after
fabrication.
●Support through the production and testing phase is expected.
●Review design guidelines to create PCB layouts including PCB footprints.
●Support firmware engineers with optimal hardware designs.
Basic Qualifications
● Diploma/Bachelors i",N/A,N/A,N/A
N/A,N/A,9456,https://campus.placements.iitb.ac.in/applicant/job/9456,fetched_jds\NA_NA_9456.txt,"Job Details
Job Summary:
We are seeking a highly skilled and motivated Mechanical Engineer to join our team,
specialising in propulsion systems. The ideal candidate will have a strong background
in propulsion, plumbing and implementation design, computational fluid dynamics
(CFD), and component-level testing. This role involves designing, analysing, and
testing propulsion systems and their components, ensuring reliability and performance
through rigorous testing and analysis.
Key Responsibilitie",N/A,N/A,N/A
N/A,N/A,9711,https://campus.placements.iitb.ac.in/applicant/job/9711,fetched_jds\NA_NA_9711.txt,"Job Details
A Software Developer for our Core Engineering group to help us in designing our in-house low latency software stack. A day-to-day work includes learning and supporting(but not limited to): - Designing, developing and testing proprietary software including - Low-latency high-throughput exchange connectivity layers - Distributed computation optimized backtesting and simulation systems capable of handling terabytes of data - Risk systems with real time trade management and risk analysis",N/A,N/A,N/A
N/A,N/A,9569,https://campus.placements.iitb.ac.in/applicant/job/9569,fetched_jds\NA_NA_9569.txt,"Job Details
You will be learning and supporting building and improving the models that keeps us competitive in the market. You will work alongside the traders, software developers and our engineering scientist, you would learn, research, improve, test, build our trading algorithms to increase trading profitability. A typical day involves applying rigorous scientific methods, machine learning techniques to a vast array of datasets in order to create insights on how the markets behave, What you;ll",N/A,N/A,N/A
N/A,N/A,9567,https://campus.placements.iitb.ac.in/applicant/job/9567,fetched_jds\NA_NA_9567.txt,"Job Details
You will be learning and supporting building and improving the models that keeps us competitive in the market. You will work alongside the traders, software developers and our engineering scientist, you would learn, research, improve, test, build our trading algorithms to increase trading profitability. A typical day involves applying rigorous scientific methods, machine learning techniques to a vast array of datasets in order to create insights on how the markets behave, What you;ll",N/A,N/A,N/A
N/A,N/A,9568,https://campus.placements.iitb.ac.in/applicant/job/9568,fetched_jds\NA_NA_9568.txt,"Job Details
A Software Developer for our Core Engineering group to help us in designing our in-house low latency software stack. A day-to-day work includes learning and supporting(but not limited to): - Designing, developing and testing proprietary software including - Low-latency high-throughput exchange connectivity layers - Distributed computation optimized backtesting and simulation systems capable of handling terabytes of data - Risk systems with real time trade management and risk analysis",N/A,N/A,N/A
N/A,N/A,10075,https://campus.placements.iitb.ac.in/applicant/job/10075,fetched_jds\NA_NA_10075.txt,"Job Details
Brief About Company :
We are a motley crew of coders, bursting with tenacity, ambition, and talent, brought together by a
common goal to create class products and killer enterprise software that deliver tremendous business
value. Unconstrained by a traditional corporate structure, we carry the power to shape our own culture
and mission.
Skill Set/ Key Skills :
Hands-on in coding, at least 1 scripting and 1 OOP language.
Good problem-solving skills.
System design basics.
Good communic",N/A,N/A,N/A
N/A,N/A,9496,https://campus.placements.iitb.ac.in/applicant/job/9496,fetched_jds\NA_NA_9496.txt,"Job Details
Role Overview:
Are you a visionary
designer with a passion for redefining the way people experience their homes?
Lowe's is seeking an Associate Product Designer - Innovator of Home Solutions
to join our dynamic global design team. In this role, you will have the
opportunity to unleash your creativity, tackle complex challenges, and shape
the future of home improvement on a global scale.
Key Responsibilities:
·
Collaborate with cross-functional teams to
envision and create innovative ",N/A,N/A,N/A
N/A,N/A,9277,https://campus.placements.iitb.ac.in/applicant/job/9277,fetched_jds\NA_NA_9277.txt,"Job Details
About
Aura & Product:
Position
: Analog Design Engineer
(across
various levels)
Job Overview Duties include
As an Analog design engineer, the designer will
     design analog/mixed signal circuits in the fields of RF, Audio, Power
     Management, Data Converters, Clock synthesizers and Jitter Attenuators.
Run extensive simulations on the design to
     fully verify functionality and performance before fabrication and will
     validate the chip in the lab.
·
Explore alternative desi",N/A,N/A,N/A
N/A,N/A,8997,https://campus.placements.iitb.ac.in/applicant/job/8997,fetched_jds\NA_NA_8997.txt,"Job Details
Maximize tool performance for customer-specific use cases through deep technical engagement during NPI and ramp in order to gain customer trust and win business
Develop, document, proliferate and version manage Apps BKMs for high quality recipes
Applications engineering requires a large set of skills
Sound fundamentals of high-NA DUV imaging, SEM column physics, light/electron- matter interaction
Lab/fab hands-on exp in semiconductor fabrication with detailed knowledge of process tec",N/A,N/A,N/A
N/A,N/A,9369,https://campus.placements.iitb.ac.in/applicant/job/9369,fetched_jds\NA_NA_9369.txt,"Job Details
About the Team
Our Data Science team is the Avengers to Meesho’s S.H.I.E.L.D 🛡️. And why not? We are the ones who assemble during the toughest challenges and devise creative solutions, building intelligent systems for millions of our users looking at a thousand different categories of products. We’ve barely scratched the surface, and have amazing challenges in charting the future of commerce for Bharat.
Our typical day involves dealing with fraud detection, inventory optimisation, an",N/A,N/A,N/A
N/A,N/A,9695,https://campus.placements.iitb.ac.in/applicant/job/9695,fetched_jds\NA_NA_9695.txt,"Job Details
Designation:
SDE I
Location:
Bangalore
Mode of working :
Hybrid
About us
Welcome to Meesho, where every story begins with a spark of inspiration and a dash of entrepreneurial spirit. We're not just a platform; we're your partner in turning dreams into realities.
Our Mission
Democratising internet commerce for everyone - Meesho (Meri shop) started with a single idea in mind to be an e-commerce destination for the next billion Indian consumers and enable 100 million small businesses to",N/A,N/A,N/A
N/A,N/A,9371,https://campus.placements.iitb.ac.in/applicant/job/9371,fetched_jds\NA_NA_9371.txt,"Job Details
Designation:
Senior Associate
Location:
Bangalore
Mode of working :
Hybrid
About us
Welcome to Meesho, where every story begins with a spark of inspiration and a dash of entrepreneurial spirit. We're not just a platform; we're your partner in turning dreams into realities.
Our Mission
Democratising internet commerce for everyone- Meesho (Meri shop) started with a single idea in mind -to be an e-commerce destination for the next billion Indian consumers and enable 100 million small bu",N/A,N/A,N/A
N/A,N/A,9370,https://campus.placements.iitb.ac.in/applicant/job/9370,fetched_jds\NA_NA_9370.txt,"Job Details
Designation:
Associate Product Manager I
Location:
Bangalore
Mode of working :
Hybrid
Offer Type
- FTE
About us
Welcome to Meesho, where every story begins with a spark of inspiration and a dash of entrepreneurial spirit. We're not just a platform; we're your partner in turning dreams into realities.
Our Mission
Democratising internet commerce for everyone- Meesho (Meri shop) started with a single idea in mind -to be an e-commerce destination for the next billion Indian consumers and",N/A,N/A,N/A
N/A,N/A,9479,https://campus.placements.iitb.ac.in/applicant/job/9479,fetched_jds\NA_NA_9479.txt,"Job Details
Position Title
Analyst
    – SC Advanced Analytics
Function/Group
Supply
    Chain
Location
Mumbai
Shift Timing
1:30
    PM to 10:30 PM
Role Reports to
Assistant
    Manager – SC Advanced Analytics
Remote/Hybrid/in-Office
Hybrid
ABOUT GENERAL
    MILLS
We make
  food the world loves: 100 brands. In 100 countries. Across six
  continents.
With
  iconic brands like Cheerios, Pillsbury, Betty Crocker, Nature Valley, and
  Häagen-Dazs, we’ve been serving up food the world loves for 155 y",N/A,N/A,N/A
N/A,N/A,9220,https://campus.placements.iitb.ac.in/applicant/job/9220,fetched_jds\NA_NA_9220.txt,"Job Details
As a global consulting partnership in more than 40 countries, our people make us who we are. We’re individuals with different passions and strengths who take as much joy in the work we do as from those we work with. Over the years we’ve fostered a culture in which we are united by shared values—passion, solidarity, generosity, curiosity, and boldness—and these come alive in the work we do and how we do it. Together, we know our people are our difference—for our clients, our colleague",N/A,N/A,N/A
N/A,N/A,9208,https://campus.placements.iitb.ac.in/applicant/job/9208,fetched_jds\NA_NA_9208.txt,"Job Details
Company Overview
Abacus.AI is the world's first AI super-assistant tailored for enterprises and professionals. We believe that the future of work will be AI-assisted in the beginning and AI-first in a few years.
Abacus is at the forefront of this revolution. We make it super simple to use AI to automate your work and business processes and generate ROI for businesses.
It’s an all-in-one AI platform that professionals and enterprises can use for all their needs. Major Fortune 500 comp",N/A,N/A,N/A
N/A,N/A,9207,https://campus.placements.iitb.ac.in/applicant/job/9207,fetched_jds\NA_NA_9207.txt,"Job Details
Company Overview
Abacus.AI is the world's first AI super-assistant tailored for enterprises and professionals. We believe that the future of work will be AI-assisted in the beginning and AI-first in a few years.
Abacus is at the forefront of this revolution. We make it super simple to use AI to automate your work and business processes and generate ROI for businesses.
It’s an all-in-one AI platform that professionals and enterprises can use for all their needs. Major Fortune 500 comp",N/A,N/A,N/A
